,PWH,QOIL
0,0.3,0.09063650000000001
1,0.4,0.08495939999999999
2,0.5,0.07873069999999999
3,0.6,0.07199910000000001
4,0.7000000000000001,0.0647074
5,0.75,0.06082340000000001
6,0.8,0.057201300000000004
7,0.85,0.053483
8,0.9,0.0496244
9,0.9500000000000001,0.045683299999999996
10,1.0,0.0416124
11,1.05,0.0376903
12,1.1,0.0336688
13,1.1500000000000001,0.029542200000000005
14,1.2,0.0252981
15,1.25,0.0209028
16,1.3,0.016528
17,1.35,0.0117729
18,1.4000000000000001,0.00657061
19,1.43,0.00227176
20,1.44545,0.0
