,PWH,QOIL
0,0.3,0.23264900000000002
1,0.4,0.21979800000000002
2,0.5,0.20539100000000002
3,0.6,0.189637
4,0.65,0.18125800000000003
5,0.7000000000000001,0.172592
6,0.75,0.16340900000000003
7,0.8,0.153621
8,0.85,0.14321
9,0.9,0.13240000000000002
10,0.9500000000000001,0.12144100000000001
11,1.0,0.10984500000000001
12,1.05,0.09750410000000001
13,1.1,0.0842503
14,1.1500000000000001,0.06991660000000001
15,1.2,0.0554484
16,1.25,0.039110900000000004
17,1.28,0.026759900000000003
18,1.3,0.0147451
19,1.3229,0.0
