,PWH,QOIL
0,0.3,0.190091
1,0.4,0.18247699999999997
2,0.5,0.174356
3,0.6,0.165398
4,0.7000000000000001,0.155762
5,0.8,0.145537
6,0.9,0.134609
7,1.0,0.12316800000000001
8,1.05,0.11726000000000002
9,1.1,0.111147
10,1.1500000000000001,0.10482
11,1.2,0.09856619999999999
12,1.3,0.08544470000000001
13,1.4000000000000001,0.0716148
14,1.5,0.057066200000000004
15,1.6,0.04083419999999999
16,1.7,0.0230166
17,1.72,0.0185822
18,1.74,0.0141571
19,1.75,0.011948299999999999
20,1.7619200000000002,6.607989999999999e-06
21,1.7619299999999996,0.0
