,QOIL,QGAS,QWAT,PUS,PDS
1553,0.28,0.28,0.42,1.19987,0.39096600000000004
1554,0.7000000000000001,0.77,0.0,1.19987,0.626579
1555,0.63,0.6930000000000002,0.07,1.19987,0.603027
1556,0.56,0.6160000000000001,0.14,1.19987,0.576088
1557,0.49,0.5390000000000001,0.21,1.19987,0.545035
1558,0.42,0.462,0.28,1.19987,0.508325
1559,0.35000000000000003,0.385,0.35000000000000003,1.19987,0.46571399999999996
1560,0.28,0.30800000000000005,0.42,1.19987,0.414197
1561,0.7000000000000001,0.84,0.0,1.19987,0.6446620000000001
1562,0.63,0.756,0.07,1.19987,0.621997
1563,0.56,0.672,0.14,1.19987,0.595906
1564,0.49,0.588,0.21,1.19987,0.565571
1565,0.42,0.504,0.28,1.19987,0.529914
1566,0.35000000000000003,0.42,0.35000000000000003,1.19987,0.486931
1567,0.28,0.336,0.42,1.19987,0.43534
1568,0.7000000000000001,0.42,0.0,1.49987,0.657418
1569,0.63,0.378,0.07,1.49987,0.630379
1570,0.56,0.336,0.14,1.49987,0.600885
1571,0.49,0.294,0.21,1.49987,0.5685100000000001
1572,0.42,0.252,0.28,1.49987,0.532676
1573,0.35000000000000003,0.21,0.35000000000000003,1.49987,0.492534
1574,0.28,0.168,0.42,1.49987,0.446905
1575,0.7000000000000001,0.49,0.0,1.49987,0.705647
1576,0.63,0.441,0.07,1.49987,0.677987
1577,0.56,0.392,0.14,1.49987,0.64759
1578,0.49,0.34299999999999997,0.21,1.49987,0.613859
1579,0.42,0.294,0.28,1.49987,0.5763969999999999
1580,0.35000000000000003,0.245,0.35000000000000003,1.49987,0.5340280000000001
1581,0.28,0.196,0.42,1.49987,0.48531399999999997
1582,0.7000000000000001,0.56,0.0,1.49987,0.7456090000000001
1583,0.63,0.5040000000000001,0.07,1.49987,0.7178570000000001
1584,0.56,0.44799999999999995,0.14,1.49987,0.6871300000000001
1585,0.49,0.392,0.21,1.49987,0.65286
1586,0.42,0.336,0.28,1.49987,0.614168
1587,0.35000000000000003,0.28,0.35000000000000003,1.49987,0.5703670000000001
1588,0.28,0.22399999999999998,0.42,1.49987,0.5194840000000001
1589,0.7000000000000001,0.63,0.0,1.49987,0.7793450000000001
1590,0.63,0.5670000000000001,0.07,1.49987,0.751779
1591,0.56,0.504,0.14,1.49987,0.721063
1592,0.49,0.441,0.21,1.49987,0.686601
1593,0.42,0.378,0.28,1.49987,0.647526
1594,0.35000000000000003,0.315,0.35000000000000003,1.49987,0.602441
1595,0.28,0.252,0.42,1.49987,0.550042
1596,0.7000000000000001,0.7000000000000001,0.0,1.49987,0.808213
1597,0.63,0.63,0.07,1.49987,0.781048
1598,0.56,0.56,0.14,1.49987,0.750573
1599,0.49,0.49,0.21,1.49987,0.716147
1600,0.42,0.42,0.28,1.49987,0.6768500000000001
1601,0.35000000000000003,0.35000000000000003,0.35000000000000003,1.49987,0.6313810000000001
1602,0.28,0.28,0.42,1.49987,0.577532
1603,0.7000000000000001,0.77,0.0,1.49987,0.8331440000000001
1604,0.63,0.6930000000000002,0.07,1.49987,0.8065100000000003
1605,0.56,0.6160000000000001,0.14,1.49987,0.776463
1606,0.49,0.5390000000000001,0.21,1.49987,0.742285
1607,0.42,0.462,0.28,1.49987,0.7029989999999999
1608,0.35000000000000003,0.385,0.35000000000000003,1.49987,0.657205
1609,0.28,0.30800000000000005,0.42,1.49987,0.602758
1610,0.7000000000000001,0.84,0.0,1.49987,0.855277
1611,0.63,0.756,0.07,1.49987,0.828835
1612,0.56,0.672,0.14,1.49987,0.7993389999999999
1613,0.49,0.588,0.21,1.49987,0.765569
1614,0.42,0.504,0.28,1.49987,0.7264820000000001
1615,0.35000000000000003,0.42,0.35000000000000003,1.49987,0.6805960000000001
1616,0.28,0.336,0.42,1.49987,0.6256539999999999
1617,0.7000000000000001,0.42,0.0,1.79987,0.8697900000000001
1618,0.63,0.378,0.07,1.79987,0.8423700000000003
1619,0.56,0.336,0.14,1.79987,0.8127630000000001
1620,0.49,0.294,0.21,1.79987,0.7807649999999999
1621,0.42,0.252,0.28,1.79987,0.745857
1622,0.35000000000000003,0.21,0.35000000000000003,1.79987,0.7074670000000001
1623,0.28,0.168,0.42,1.79987,0.664778
1624,0.7000000000000001,0.49,0.0,1.79987,0.919446
1625,0.63,0.441,0.07,1.79987,0.891067
1626,0.56,0.392,0.14,1.79987,0.860179
1627,0.49,0.34299999999999997,0.21,1.79987,0.826388
1628,0.42,0.294,0.28,1.79987,0.789245
1629,0.35000000000000003,0.245,0.35000000000000003,1.79987,0.747994
1630,0.28,0.196,0.42,1.79987,0.701579
1631,0.7000000000000001,0.56,0.0,1.79987,0.96169
1632,0.63,0.5040000000000001,0.07,1.79987,0.9327670000000001
1633,0.56,0.44799999999999995,0.14,1.79987,0.901092
1634,0.49,0.392,0.21,1.79987,0.866177
1635,0.42,0.336,0.28,1.79987,0.8274420000000001
1636,0.35000000000000003,0.28,0.35000000000000003,1.79987,0.784054
1637,0.28,0.22399999999999998,0.42,1.79987,0.7347490000000001
1638,0.7000000000000001,0.63,0.0,1.79987,0.997874
1639,0.63,0.5670000000000001,0.07,1.79987,0.968826
1640,0.56,0.504,0.14,1.79987,0.936655
1641,0.49,0.441,0.21,1.79987,0.9011060000000001
1642,0.42,0.378,0.28,1.79987,0.8612890000000001
1643,0.35000000000000003,0.315,0.35000000000000003,1.79987,0.816314
1644,0.28,0.252,0.42,1.79987,0.764762
1645,0.7000000000000001,0.7000000000000001,0.0,1.79987,1.0291299999999999
1646,0.63,0.63,0.07,1.79987,1.00017
1647,0.56,0.56,0.14,1.79987,0.968047
1648,0.49,0.49,0.21,1.79987,0.931988
1649,0.42,0.42,0.28,1.79987,0.891571
1650,0.35000000000000003,0.35000000000000003,0.35000000000000003,1.79987,0.8454309999999999
1651,0.28,0.28,0.42,1.79987,0.792114
1652,0.7000000000000001,0.77,0.0,1.79987,1.05622
1653,0.63,0.6930000000000002,0.07,1.79987,1.02765
1654,0.56,0.6160000000000001,0.14,1.79987,0.9956950000000001
1655,0.49,0.5390000000000001,0.21,1.79987,0.9597600000000001
1656,0.42,0.462,0.28,1.79987,0.9187569999999999
1657,0.35000000000000003,0.385,0.35000000000000003,1.79987,0.871921
1658,0.28,0.30800000000000005,0.42,1.79987,0.817183
1659,0.7000000000000001,0.84,0.0,1.79987,1.0799400000000001
1660,0.63,0.756,0.07,1.79987,1.0518399999999999
1661,0.56,0.672,0.14,1.79987,1.02023
1662,0.49,0.588,0.21,1.79987,0.984457
1663,0.42,0.504,0.28,1.79987,0.943557
1664,0.35000000000000003,0.42,0.35000000000000003,1.79987,0.896052
1665,0.28,0.336,0.42,1.79987,0.840356
1666,0.7000000000000001,0.42,0.0,2.09987,1.11526
1667,0.63,0.378,0.07,2.09987,1.08753
1668,0.56,0.336,0.14,2.09987,1.05792
1669,0.49,0.294,0.21,2.09987,1.02628
1670,0.42,0.252,0.28,2.09987,0.992372
1671,0.35000000000000003,0.21,0.35000000000000003,2.09987,0.955795
1672,0.28,0.168,0.42,2.09987,0.9161159999999999
1673,0.7000000000000001,0.49,0.0,2.09987,1.15887
1674,0.63,0.441,0.07,2.09987,1.13013
1675,0.56,0.392,0.14,2.09987,1.0993300000000001
1676,0.49,0.34299999999999997,0.21,2.09987,1.06606
1677,0.42,0.294,0.28,2.09987,1.02997
1678,0.35000000000000003,0.245,0.35000000000000003,2.09987,0.9906210000000001
1679,0.28,0.196,0.42,2.09987,0.94728
1680,0.7000000000000001,0.56,0.0,2.09987,1.2001000000000002
1681,0.63,0.5040000000000001,0.07,2.09987,1.17068
1682,0.56,0.44799999999999995,0.14,2.09987,1.13873
1683,0.49,0.392,0.21,2.09987,1.10404
1684,0.42,0.336,0.28,2.09987,1.0660500000000002
1685,0.35000000000000003,0.28,0.35000000000000003,2.09987,1.02417
1686,0.28,0.22399999999999998,0.42,2.09987,0.977555
1687,0.7000000000000001,0.63,0.0,2.09987,1.2362900000000001
1688,0.63,0.5670000000000001,0.07,2.09987,1.2064700000000002
1689,0.56,0.504,0.14,2.09987,1.1739
1690,0.49,0.441,0.21,2.09987,1.13815
1691,0.42,0.378,0.28,2.09987,1.0987600000000002
1692,0.35000000000000003,0.315,0.35000000000000003,2.09987,1.05488
1693,0.28,0.252,0.42,2.09987,1.0055800000000001
1694,0.7000000000000001,0.7000000000000001,0.0,2.09987,1.26798
1695,0.63,0.63,0.07,2.09987,1.238
1696,0.56,0.56,0.14,2.09987,1.2050400000000001
1697,0.49,0.49,0.21,2.09987,1.1687
1698,0.42,0.42,0.28,2.09987,1.12823
1699,0.35000000000000003,0.35000000000000003,0.35000000000000003,2.09987,1.0829000000000002
1700,0.28,0.28,0.42,2.09987,1.03138
1701,0.7000000000000001,0.77,0.0,2.09987,1.29588
1702,0.63,0.6930000000000002,0.07,2.09987,1.26601
1703,0.56,0.6160000000000001,0.14,2.09987,1.23292
1704,0.49,0.5390000000000001,0.21,2.09987,1.19619
1705,0.42,0.462,0.28,2.09987,1.15504
1706,0.35000000000000003,0.385,0.35000000000000003,2.09987,1.10853
1707,0.28,0.30800000000000005,0.42,2.09987,1.05526
1708,0.7000000000000001,0.84,0.0,2.09987,1.3205200000000001
1709,0.63,0.756,0.07,2.09987,1.2909799999999998
1710,0.56,0.672,0.14,2.09987,1.25803
1711,0.49,0.588,0.21,2.09987,1.22107
1712,0.42,0.504,0.28,2.09987,1.17952
1713,0.35000000000000003,0.42,0.35000000000000003,2.09987,1.13211
1714,0.28,0.336,0.42,2.09987,1.07747
1715,0.85,0.51,0.0,0.299867,0.01
1716,0.765,0.459,0.085,0.299867,0.01
1717,0.68,0.408,0.17,0.299867,0.01
1718,0.595,0.35700000000000004,0.255,0.299867,0.01
1719,0.51,0.306,0.34,0.299867,0.01
1720,0.425,0.255,0.425,0.299867,0.01
1721,0.34,0.204,0.51,0.299867,0.01
1722,0.85,0.595,0.0,0.299867,0.01
1723,0.765,0.5355,0.085,0.299867,0.01
1724,0.68,0.47600000000000003,0.17,0.299867,0.01
1725,0.595,0.4165,0.255,0.299867,0.01
1726,0.51,0.35700000000000004,0.34,0.299867,0.01
1727,0.425,0.2975,0.425,0.299867,0.01
1728,0.34,0.23800000000000002,0.51,0.299867,0.01
1729,0.85,0.68,0.0,0.299867,0.01
1730,0.765,0.612,0.085,0.299867,0.01
1731,0.68,0.5440000000000002,0.17,0.299867,0.01
1732,0.595,0.47600000000000003,0.255,0.299867,0.01
1733,0.51,0.408,0.34,0.299867,0.01
1734,0.425,0.34,0.425,0.299867,0.01
1735,0.34,0.2720000000000001,0.51,0.299867,0.01
1736,0.85,0.765,0.0,0.299867,0.01
1737,0.765,0.6885000000000001,0.085,0.299867,0.01
1738,0.68,0.612,0.17,0.299867,0.01
1739,0.595,0.5355,0.255,0.299867,0.01
1740,0.51,0.459,0.34,0.299867,0.01
1741,0.425,0.3825,0.425,0.299867,0.01
1742,0.34,0.306,0.51,0.299867,0.01
1743,0.85,0.85,0.0,0.299867,0.01
1744,0.765,0.765,0.085,0.299867,0.01
1745,0.68,0.68,0.17,0.299867,0.01
1746,0.595,0.595,0.255,0.299867,0.01
1747,0.51,0.51,0.34,0.299867,0.01
1748,0.425,0.425,0.425,0.299867,0.01
1749,0.34,0.34,0.51,0.299867,0.01
1750,0.85,0.935,0.0,0.299867,0.01
1751,0.765,0.8415,0.085,0.299867,0.01
1752,0.68,0.7480000000000002,0.17,0.299867,0.01
1753,0.595,0.6545000000000001,0.255,0.299867,0.01
1754,0.51,0.561,0.34,0.299867,0.01
1755,0.425,0.4675000000000001,0.425,0.299867,0.01
1756,0.34,0.3740000000000001,0.51,0.299867,0.01
1757,0.85,1.02,0.0,0.299867,0.01
1758,0.765,0.918,0.085,0.299867,0.01
1759,0.68,0.816,0.17,0.299867,0.01
1760,0.595,0.7139999999999997,0.255,0.299867,0.01
1761,0.51,0.612,0.34,0.299867,0.01
1762,0.425,0.51,0.425,0.299867,0.01
1763,0.34,0.408,0.51,0.299867,0.01
1764,0.85,0.51,0.0,0.599867,0.123866
1765,0.765,0.459,0.085,0.599867,0.107029
1766,0.68,0.408,0.17,0.599867,0.08819280000000003
1767,0.595,0.35700000000000004,0.255,0.599867,0.0654139
1768,0.51,0.306,0.34,0.599867,0.0334298
1769,0.425,0.255,0.425,0.599867,0.01
1770,0.34,0.204,0.51,0.599867,0.01
1771,0.85,0.595,0.0,0.599867,0.14219500000000002
1772,0.765,0.5355,0.085,0.599867,0.12590500000000002
1773,0.68,0.47600000000000003,0.17,0.599867,0.108349
1774,0.595,0.4165,0.255,0.599867,0.0875253
1775,0.51,0.35700000000000004,0.34,0.599867,0.0623695
1776,0.425,0.2975,0.425,0.599867,0.0203172
1777,0.34,0.23800000000000002,0.51,0.599867,0.01
1778,0.85,0.68,0.0,0.599867,0.156666
1779,0.765,0.612,0.085,0.599867,0.140838
1780,0.68,0.5440000000000002,0.17,0.599867,0.123459
1781,0.595,0.47600000000000003,0.255,0.599867,0.10474800000000001
1782,0.51,0.408,0.34,0.599867,0.08134830000000001
1783,0.425,0.34,0.425,0.599867,0.0504807
1784,0.34,0.2720000000000001,0.51,0.599867,0.01
1785,0.85,0.765,0.0,0.599867,0.16836500000000001
1786,0.765,0.6885000000000001,0.085,0.599867,0.153732
1787,0.68,0.612,0.17,0.599867,0.135916
1788,0.595,0.5355,0.255,0.599867,0.117517
1789,0.51,0.459,0.34,0.599867,0.0961217
1790,0.425,0.3825,0.425,0.599867,0.06875980000000001
1791,0.34,0.306,0.51,0.599867,0.0233861
1792,0.85,0.85,0.0,0.599867,0.180082
1793,0.765,0.765,0.085,0.599867,0.163835
1794,0.68,0.68,0.17,0.599867,0.14749
1795,0.595,0.595,0.255,0.599867,0.128537
1796,0.51,0.51,0.34,0.599867,0.10819699999999999
1797,0.425,0.425,0.425,0.599867,0.08264660000000001
1798,0.34,0.34,0.51,0.599867,0.0465661
1799,0.85,0.935,0.0,0.599867,0.19011
1800,0.765,0.8415,0.085,0.599867,0.17405
1801,0.68,0.7480000000000002,0.17,0.599867,0.15659599999999999
1802,0.595,0.6545000000000001,0.255,0.599867,0.137843
1803,0.51,0.561,0.34,0.599867,0.11843000000000001
1804,0.425,0.4675000000000001,0.425,0.599867,0.0943229
1805,0.34,0.3740000000000001,0.51,0.599867,0.061680699999999984
1806,0.85,1.02,0.0,0.599867,0.19748200000000002
1807,0.765,0.918,0.085,0.599867,0.18351800000000001
1808,0.68,0.816,0.17,0.599867,0.16519000000000003
1809,0.595,0.7139999999999997,0.255,0.599867,0.14699
1810,0.51,0.612,0.34,0.599867,0.12715
1811,0.425,0.51,0.425,0.599867,0.103869
1812,0.34,0.408,0.51,0.599867,0.0733131
1813,0.85,0.51,0.0,0.8998650000000001,0.295789
1814,0.765,0.459,0.085,0.8998650000000001,0.27412800000000004
1815,0.68,0.408,0.17,0.8998650000000001,0.250144
1816,0.595,0.35700000000000004,0.255,0.8998650000000001,0.223414
1817,0.51,0.306,0.34,0.8998650000000001,0.193374
1818,0.425,0.255,0.425,0.8998650000000001,0.159252
1819,0.34,0.204,0.51,0.8998650000000001,0.11997500000000001
1820,0.85,0.595,0.0,0.8998650000000001,0.32658499999999996
1821,0.765,0.5355,0.085,0.8998650000000001,0.30545300000000003
1822,0.68,0.47600000000000003,0.17,0.8998650000000001,0.281735
1823,0.595,0.4165,0.255,0.8998650000000001,0.255025
1824,0.51,0.35700000000000004,0.34,0.8998650000000001,0.22460100000000002
1825,0.425,0.2975,0.425,0.8998650000000001,0.189539
1826,0.34,0.23800000000000002,0.51,0.8998650000000001,0.148523
1827,0.85,0.68,0.0,0.8998650000000001,0.351625
1828,0.765,0.612,0.085,0.8998650000000001,0.33083300000000004
1829,0.68,0.5440000000000002,0.17,0.8998650000000001,0.307849
1830,0.595,0.47600000000000003,0.255,0.8998650000000001,0.281569
1831,0.51,0.408,0.34,0.8998650000000001,0.251318
1832,0.425,0.34,0.425,0.8998650000000001,0.21594000000000002
1833,0.34,0.2720000000000001,0.51,0.8998650000000001,0.173918
1834,0.85,0.765,0.0,0.8998650000000001,0.371639
1835,0.765,0.6885000000000001,0.085,0.8998650000000001,0.352156
1836,0.68,0.612,0.17,0.8998650000000001,0.32996400000000004
1837,0.595,0.5355,0.255,0.8998650000000001,0.304066
1838,0.51,0.459,0.34,0.8998650000000001,0.274256
1839,0.425,0.3825,0.425,0.8998650000000001,0.239049
1840,0.34,0.306,0.51,0.8998650000000001,0.196584
1841,0.85,0.85,0.0,0.8998650000000001,0.38818600000000003
1842,0.765,0.765,0.085,0.8998650000000001,0.36960000000000004
1843,0.68,0.68,0.17,0.8998650000000001,0.348259
1844,0.595,0.595,0.255,0.8998650000000001,0.323587
1845,0.51,0.51,0.34,0.8998650000000001,0.294118
1846,0.425,0.425,0.425,0.8998650000000001,0.259344
1847,0.34,0.34,0.51,0.8998650000000001,0.216877
1848,0.85,0.935,0.0,0.8998650000000001,0.402172
1849,0.765,0.8415,0.085,0.8998650000000001,0.384533
1850,0.68,0.7480000000000002,0.17,0.8998650000000001,0.36383899999999997
1851,0.595,0.6545000000000001,0.255,0.8998650000000001,0.340007
1852,0.51,0.561,0.34,0.8998650000000001,0.31180800000000003
1853,0.425,0.4675000000000001,0.425,0.8998650000000001,0.277285
1854,0.34,0.3740000000000001,0.51,0.8998650000000001,0.23508800000000002
1855,0.85,1.02,0.0,0.8998650000000001,0.414513
1856,0.765,0.918,0.085,0.8998650000000001,0.3969
1857,0.68,0.816,0.17,0.8998650000000001,0.37709800000000004
1858,0.595,0.7139999999999997,0.255,0.8998650000000001,0.354186
1859,0.51,0.612,0.34,0.8998650000000001,0.326915
1860,0.425,0.51,0.425,0.8998650000000001,0.293167
1861,0.34,0.408,0.51,0.8998650000000001,0.251487
1862,0.85,0.51,0.0,1.19987,0.46305999999999997
1863,0.765,0.459,0.085,1.19987,0.43777099999999997
1864,0.68,0.408,0.17,1.19987,0.4099800000000001
1865,0.595,0.35700000000000004,0.255,1.19987,0.37922300000000003
1866,0.51,0.306,0.34,1.19987,0.344856
1867,0.425,0.255,0.425,1.19987,0.305948
1868,0.34,0.204,0.51,1.19987,0.2611
1869,0.85,0.595,0.0,1.19987,0.5036039999999999
1870,0.765,0.5355,0.085,1.19987,0.47833
1871,0.68,0.47600000000000003,0.17,1.19987,0.450314
1872,0.595,0.4165,0.255,1.19987,0.419023
1873,0.51,0.35700000000000004,0.34,1.19987,0.383722
1874,0.425,0.2975,0.425,1.19987,0.34335
1875,0.34,0.23800000000000002,0.51,1.19987,0.296306
1876,0.85,0.68,0.0,1.19987,0.5375460000000001
1877,0.765,0.612,0.085,1.19987,0.512623
1878,0.68,0.5440000000000002,0.17,1.19987,0.484454
1879,0.595,0.47600000000000003,0.255,1.19987,0.452818
1880,0.51,0.408,0.34,1.19987,0.41714799999999996
1881,0.425,0.34,0.425,1.19987,0.37595
1882,0.34,0.2720000000000001,0.51,1.19987,0.327435
1883,0.85,0.765,0.0,1.19987,0.565208
1884,0.765,0.6885000000000001,0.085,1.19987,0.540956
1885,0.68,0.612,0.17,1.19987,0.513598
1886,0.595,0.5355,0.255,1.19987,0.482161
1887,0.51,0.459,0.34,1.19987,0.44617199999999996
1888,0.425,0.3825,0.425,1.19987,0.404617
1889,0.34,0.306,0.51,1.19987,0.35517699999999996
1890,0.85,0.85,0.0,1.19987,0.588267
1891,0.765,0.765,0.085,1.19987,0.564902
1892,0.68,0.68,0.17,1.19987,0.538277
1893,0.595,0.595,0.255,1.19987,0.507724
1894,0.51,0.51,0.34,1.19987,0.47194
1895,0.425,0.425,0.425,1.19987,0.43001300000000003
1896,0.34,0.34,0.51,1.19987,0.38007100000000005
1897,0.85,0.935,0.0,1.19987,0.607765
1898,0.765,0.8415,0.085,1.19987,0.585194
1899,0.68,0.7480000000000002,0.17,1.19987,0.5595
1900,0.595,0.6545000000000001,0.255,1.19987,0.529713
1901,0.51,0.561,0.34,1.19987,0.494808
1902,0.425,0.4675000000000001,0.425,1.19987,0.452654
1903,0.34,0.3740000000000001,0.51,1.19987,0.402536
1904,0.85,1.02,0.0,1.19987,0.624283
1905,0.765,0.918,0.085,1.19987,0.602708
1906,0.68,0.816,0.17,1.19987,0.577797
1907,0.595,0.7139999999999997,0.255,1.19987,0.548936
1908,0.51,0.612,0.34,1.19987,0.514776
1909,0.425,0.51,0.425,1.19987,0.47374099999999997
1910,0.34,0.408,0.51,1.19987,0.42291200000000007
1911,0.85,0.51,0.0,1.49987,0.6495489999999999
1912,0.765,0.459,0.085,1.49987,0.622621
1913,0.68,0.408,0.17,1.49987,0.5930850000000001
1914,0.595,0.35700000000000004,0.255,1.49987,0.560917
1915,0.51,0.306,0.34,1.49987,0.525325
1916,0.425,0.255,0.425,1.49987,0.485475
